Latitude,Longitude,GLIMS_ID,ID,Elv_min,Elv_mean,Elv_max,ID_RGI
"35.466000000000001","70.617999999999995",G070618E35466N,"39.000000000000000","4748","4810","4855",RGI2000-v7.0-G-14-03218
"35.404000000000003","69.263999999999996",G069264E35404N,"40.000000000000000","4101","4225","4465",RGI2000-v7.0-G-14-00068
"35.468000000000004","70.644999999999996",G070645E35468N,"41.000000000000000","4647","4743","4843",RGI2000-v7.0-G-14-03217
"35.465000000000003","70.552999999999997",G070553E35465N,"42.000000000000000","4752","4821","4903",RGI2000-v7.0-G-14-03235
"35.466999999999999","70.613000000000000",G070613E35467N,"43.000000000000000","4658","4764","4840",RGI2000-v7.0-G-14-03219
"35.418999999999997","69.358999999999995",G069359E35419N,"44.000000000000000","4328","4412","4515",NewID_N34.575E68.019
"35.412999999999997","69.311999999999998",G069312E35413N,"45.000000000000000","3886","4030","4330",RGI2000-v7.0-G-14-00071
"35.411999999999999","69.283000000000001",G069283E35412N,"46.000000000000000","3949","4091","4303",RGI2000-v7.0-G-14-00069
"35.481999999999999","70.859999999999999",G070860E35482N,"47.000000000000000","4532","4691","4933",RGI2000-v7.0-G-14-02921
"35.487000000000002","70.852000000000004",G070852E35487N,"48.000000000000000","4372","4537","4853",RGI2000-v7.0-G-14-02923
"35.485999999999997","70.843999999999994",G070844E35486N,"49.000000000000000","4569","4805","5029",RGI2000-v7.0-G-14-02924
"35.479999999999997","70.563000000000002",G070563E35480N,"50.000000000000000","4759","4847","4978",RGI2000-v7.0-G-14-03236
"35.491999999999997","70.873000000000005",G070873E35492N,"51.000000000000000","4704","4757","4863",RGI2000-v7.0-G-14-02919
"35.433000000000000","69.391000000000005",G069391E35433N,"52.000000000000000","4388","4478","4664",RGI2000-v7.0-G-14-00081
"35.488999999999997","70.819999999999993",G070820E35489N,"53.000000000000000","4610","4983","5280",RGI2000-v7.0-G-14-02927
"35.485999999999997","70.831999999999994",G070832E35486N,"54.000000000000000","4441","4791","5256",RGI2000-v7.0-G-14-02925
"35.497999999999998","70.879999999999995",G070880E35498N,"55.000000000000000","4802","4845","4895",RGI2000-v7.0-G-14-02918
"35.494000000000000","70.635000000000005",G070635E35494N,"56.000000000000000","4605","4674","4761",RGI2000-v7.0-G-14-03212
"35.500000000000000","70.759000000000000",G070759E35500N,"57.000000000000000","4699","4780","4853",RGI2000-v7.0-G-14-03411
"35.439000000000000","69.251000000000005",G069251E35439N,"58.000000000000000","4543","4620","4692",RGI2000-v7.0-G-14-00528
"35.502000000000002","70.769999999999996",G070770E35502N,"59.000000000000000","4784","4852","4948",RGI2000-v7.0-G-14-03410
"35.503000000000000","70.801000000000002",G070801E35503N,"60.000000000000000","4805","4870","4973",RGI2000-v7.0-G-14-02929
"35.505000000000003","70.792000000000002",G070792E35505N,"61.000000000000000","4948","5029","5135",RGI2000-v7.0-G-14-02930
"35.497000000000000","70.650000000000006",G070650E35497N,"62.000000000000000","4722","4853","5029",RGI2000-v7.0-G-14-03211
"35.506999999999998","70.778000000000006",G070778E35507N,"63.000000000000000","4987","5013","5037",RGI2000-v7.0-G-14-03408
"35.508000000000003","70.787000000000006",G070787E35508N,"64.000000000000000","5049","5115","5194",RGI2000-v7.0-G-14-02931
"35.454000000000001","69.445999999999998",G069446E35454N,"65.000000000000000","4490","4556","4633",RGI2000-v7.0-G-14-00087
"35.499000000000002","70.542000000000002",G070542E35499N,"66.000000000000000","4923","5001","5089",RGI2000-v7.0-G-14-03239
"35.459000000000003","69.561999999999998",G069562E35459N,"67.000000000000000","4247","4482","4714",RGI2000-v7.0-G-14-00102
"35.460999999999999","69.554000000000002",G069554E35461N,"68.000000000000000","4280","4394","4565",RGI2000-v7.0-G-14-00101
"35.450000000000003","69.344999999999999",G069345E35450N,"69.000000000000000","4291","4459","4587",RGI2000-v7.0-G-14-00084
"35.459000000000003","69.439999999999998",G069440E35459N,"70.000000000000000","4445","4549","4677",RGI2000-v7.0-G-14-00088
"35.465000000000003","69.543000000000006",G069543E35465N,"71.000000000000000","4351","4413","4467",RGI2000-v7.0-G-14-00100
"35.517000000000003","70.789000000000001",G070789E35517N,"72.000000000000000","5098","5158","5239",RGI2000-v7.0-G-14-02935
"35.468000000000004","69.527000000000001",G069527E35468N,"73.000000000000000","4448","4546","4661",RGI2000-v7.0-G-14-00099
"35.472000000000001","69.585999999999999",G069586E35472N,"74.000000000000000","4503","4593","4682",RGI2000-v7.0-G-14-00107
"35.520000000000003","70.795000000000002",G070795E35520N,"75.000000000000000","4906","4994","5127",RGI2000-v7.0-G-14-02936
"35.468000000000004","69.438999999999993",G069439E35468N,"76.000000000000000","4553","4636","4701",RGI2000-v7.0-G-14-00089
"35.518999999999998","70.635999999999996",G070636E35519N,"77.000000000000000","4750","4781","4820",RGI2000-v7.0-G-14-03208
"35.515000000000001","70.545000000000002",G070545E35515N,"78.000000000000000","4910","4971","5043",RGI2000-v7.0-G-14-03243
"35.472999999999999","69.510999999999996",G069511E35473N,"79.000000000000000","4194","4321","4601",RGI2000-v7.0-G-14-00097
"35.475000000000001","69.504000000000005",G069504E35475N,"80.000000000000000","4257","4322","4459",RGI2000-v7.0-G-14-00096
"35.518999999999998","70.539000000000001",G070539E35519N,"81.000000000000000","4959","5043","5150",RGI2000-v7.0-G-14-03244
"35.475000000000001","69.435000000000002",G069435E35475N,"82.000000000000000","4578","4661","4799",RGI2000-v7.0-G-14-00090
"35.530999999999999","70.781000000000006",G070781E35531N,"83.000000000000000","5153","5185","5223",RGI2000-v7.0-G-14-02938
"35.526000000000003","70.656000000000006",G070656E35526N,"84.000000000000000","4654","4758","4853",RGI2000-v7.0-G-14-03204
"35.527999999999999","70.659999999999997",G070660E35528N,"85.000000000000000","4585","4672","4803",RGI2000-v7.0-G-14-03203
"35.526000000000003","70.647000000000006",G070647E35526N,"86.000000000000000","4640","4776","4984",RGI2000-v7.0-G-14-03206
"35.536000000000001","70.823999999999998",G070824E35536N,"87.000000000000000","4752","4884","5044",RGI2000-v7.0-G-14-03192
"35.526000000000003","70.557000000000002",G070557E35526N,"88.000000000000000","4887","5000","5146",RGI2000-v7.0-G-14-03250
"35.481999999999999","69.596000000000004",G069596E35482N,"89.000000000000000","4078","4522","4985",RGI2000-v7.0-G-14-00108
"35.488999999999997","69.608000000000004",G069608E35489N,"90.000000000000000","4719","4904","5082",RGI2000-v7.0-G-14-00110
"35.536000000000001","70.765000000000001",G070765E35536N,"91.000000000000000","4872","5021","5177",RGI2000-v7.0-G-14-02939
"35.482999999999997","69.441000000000003",G069441E35483N,"92.000000000000000","4339","4487","4625",RGI2000-v7.0-G-14-00091
"35.536000000000001","70.668999999999997",G070669E35536N,"93.000000000000000","4572","4658","4766",RGI2000-v7.0-G-14-03202
"35.491000000000000","69.576999999999998",G069577E35491N,"94.000000000000000","3782","3891","4173",RGI2000-v7.0-G-14-00109
"35.534999999999997","70.561999999999998",G070562E35535N,"95.000000000000000","4873","5034","5190",RGI2000-v7.0-G-14-03249
"35.539000000000001","70.793000000000006",G070793E35539N,"96.000000000000000","4673","4921","5287",RGI2000-v7.0-G-14-03194
"35.503000000000000","69.662000000000006",G069662E35503N,"97.000000000000000","4387","4453","4581",RGI2000-v7.0-G-14-00127
"35.497999999999998","69.609999999999999",G069610E35498N,"98.000000000000000","4370","4652","5043",RGI2000-v7.0-G-14-00119
"35.502000000000002","69.619000000000000",G069619E35502N,"99.000000000000000","4573","4648","4775",RGI2000-v7.0-G-14-00120
"35.540999999999997","70.558999999999997",G070559E35541N,"100.000000000000000","4763","4912","5119",RGI2000-v7.0-G-14-03248
"35.505000000000003","69.650000000000006",G069650E35505N,"101.000000000000000","4243","4393","4705",RGI2000-v7.0-G-14-00125
"35.549999999999997","70.771000000000001",G070771E35550N,"102.000000000000000","4991","5128","5260",RGI2000-v7.0-G-14-02943
"35.555999999999997","70.766000000000005",G070766E35556N,"103.000000000000000","5144","5213","5293",RGI2000-v7.0-G-14-02944
"35.503999999999998","69.631000000000000",G069631E35504N,"104.000000000000000","4243","4601","4932",RGI2000-v7.0-G-14-00121
"35.512000000000000","69.616000000000000",G069616E35512N,"105.000000000000000","4407","4585","4927",RGI2000-v7.0-G-14-00137
"35.561999999999998","70.763000000000005",G070763E35562N,"106.000000000000000","4913","5027","5148",RGI2000-v7.0-G-14-02945
"35.564000000000000","70.566000000000003",G070566E35564N,"107.000000000000000","4959","5099","5194",RGI2000-v7.0-G-14-03252
"35.573000000000000","70.790000000000006",G070790E35573N,"108.000000000000000","4775","4910","5100",RGI2000-v7.0-G-14-03197
"35.575000000000003","70.763999999999996",G070764E35575N,"109.000000000000000","4818","4997","5152",RGI2000-v7.0-G-14-02947
"35.573999999999998","70.777000000000001",G070777E35574N,"110.000000000000000","4501","4762","5216",RGI2000-v7.0-G-14-03196
"35.536000000000001","69.677999999999997",G069678E35536N,"111.000000000000000","4467","4562","4647",RGI2000-v7.0-G-14-00128
"35.536999999999999","69.697999999999993",G069698E35537N,"112.000000000000000","4532","4708","4859",RGI2000-v7.0-G-14-00129
"35.582000000000001","70.757000000000005",G070757E35582N,"113.000000000000000","4937","5042","5110",RGI2000-v7.0-G-14-02949
"35.575000000000003","70.570999999999998",G070571E35575N,"114.000000000000000","4499","4916","5353",RGI2000-v7.0-G-14-03254
"35.584000000000003","70.753000000000000",G070753E35584N,"115.000000000000000","4958","5050","5107",RGI2000-v7.0-G-14-02950
"35.542999999999999","69.715000000000003",G069715E35543N,"116.000000000000000","3981","4162","4345",RGI2000-v7.0-G-14-00130
